seed,noise_level,true_degree,true_coefficients,selected_degree,selected_coefficients,c1,c2,source_file,true_coeff_0,true_coeff_1,true_coeff_2,true_coeff_3,true_coeff_4,true_coeff_5,true_coeff_6,imse,imae,maxerr,metrics_success
3812,high,1,"[-6.36006183155848, 7.130832663581425]",1,"[-5.8848773826962155, 6.262812320089247]",0.6666666666666666,0.3333333333333333,polynomial_params_deg1_noise_level_high.csv,-6.36006183155848,7.130832663581425,,,,,,0.06448359748906281,0.21895818151883878,0.47517927471366406,True
3813,high,1,"[-7.670535361440575, -6.098707359173897]",1,"[-8.23119356873574, -5.511378075821]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,-7.670535361440575,-6.098707359173897,,,,,,0.10003187133878147,0.26820472993817274,0.5606547063069538,True
3814,high,1,"[-9.865601927512287, -7.160009872368771]",1,"[-10.209191157348362, -6.669142575038117]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,-9.865601927512287,-7.160009872368771,,,,,,0.029713743414025853,0.14234436764656677,0.3435863038443525,True
3815,high,1,"[20.567807328059523, -6.2939563829060665]",2,"[19.414334514446853, -0.8333877291791532, -5.270041649809203]",0.2,0.8,polynomial_params_deg1_noise_level_high.csv,20.567807328059523,-6.2939563829060665,,,,,,0.1896742430196086,0.33477929967535025,0.26102312415399354,True
3816,high,1,"[5.820448138178375, 4.395484521366528]",1,"[6.318380815586728, 4.1818483542763385]",0.0,1.0,polynomial_params_deg1_noise_level_high.csv,5.820448138178375,4.395484521366528,,,,,,0.15677399319023716,0.39111459386325836,0.49793140395285906,True
3817,high,1,"[12.76064583510501, -8.441178070788537]",2,"[14.440479921865522, -16.345879799951547, 7.196600764116328]",0.3333333333333333,0.6666666666666666,polynomial_params_deg1_noise_level_high.csv,12.76064583510501,-8.441178070788537,,,,,,0.3454763988230567,0.4681262566322395,0.49078477466750225,True
3818,high,1,"[-1.2185335289992545, 6.197314957950471]",1,"[-1.4813663634888716, 6.876041570523881]",1.0,0.0,polynomial_params_deg1_noise_level_high.csv,-1.2185335289992545,6.197314957950471,,,,,,0.0442460643314328,0.1783109222895627,0.4158897322888073,True
3819,high,1,"[3.606056832866349, -6.064210923643418]",1,"[2.8194811480085797, -5.215298182102372]",0.0,1.0,polynomial_params_deg1_noise_level_high.csv,3.606056832866349,-6.064210923643418,,,,,,0.19118480119757897,0.36669685504759975,0.7865706246069273,True
3820,high,1,"[-4.733462408210629, -10.342536430611286]",1,"[-5.526635434802984, -8.84053391139114]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,-4.733462408210629,-10.342536430611286,,,,,,0.18977942190904673,0.3766846942052052,0.7931640733641352,True
3821,high,1,"[-5.164684022322797, 7.989659215479169]",1,"[-5.159044678047348, 7.516935761649954]",1.0,0.0,polynomial_params_deg1_noise_level_high.csv,-5.164684022322797,7.989659215479169,,,,,,0.07185510650070875,0.2307896575704578,0.4670812917149725,True
3822,high,1,"[-4.798419009364299, 6.511609146852652]",1,"[-4.671460868471419, 5.919000337882262]",0.0,1.0,polynomial_params_deg1_noise_level_high.csv,-4.798419009364299,6.511609146852652,,,,,,0.05794359036511989,0.19654526871143874,0.4656471356187799,True
3823,high,1,"[4.507404800606315, 5.714577364512322]",1,"[4.606127395251852, 5.331882237126756]",0.2,0.8,polynomial_params_deg1_noise_level_high.csv,4.507404800606315,5.714577364512322,,,,,,0.020784014934724458,0.1180921106366967,0.28397025154757394,True
3824,high,1,"[7.652752222462135, -7.138060238929961]",1,"[8.567739320045826, -8.518502676304823]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,7.652752222462135,-7.138060238929961,,,,,,0.20932147722479572,0.3817073631818433,0.9149788689582206,True
3825,high,1,"[7.89650895984419, 5.633330862562191]",1,"[7.725603230972409, 5.923737422010099]",1.0,0.0,polynomial_params_deg1_noise_level_high.csv,7.89650895984419,5.633330862562191,,,,,,0.0076886133730608396,0.07487643554283212,0.17090399779865084,True
3826,high,1,"[9.067432404041368, 15.408558931443231]",1,"[9.605339753739173, 14.276425169150848]",0.8,0.2,polynomial_params_deg1_noise_level_high.csv,9.067432404041368,15.408558931443231,,,,,,0.10760353052158525,0.2837338700444866,0.594219664102603,True
3827,high,1,"[-3.2729637057592766, -6.306952853482922]",1,"[-3.46007637244189, -5.8838196362680675]",1.0,0.0,polynomial_params_deg1_noise_level_high.csv,-3.2729637057592766,-6.306952853482922,,,,,,0.015518138568211503,0.10719962576416704,0.23601802829395346,True
3828,high,1,"[-5.078173903839987, 9.691777023641423]",1,"[-5.291490532762111, 9.923715373254304]",0.8,0.2,polynomial_params_deg1_noise_level_high.csv,-5.078173903839987,9.691777023641423,,,,,,0.013959476657900718,0.09884254385496528,0.21331524636986465,True
3829,high,1,"[-2.5339026925990944, -6.416873728737011]",1,"[-2.4717424574313127, -7.3726530916221344]",0.2,0.8,polynomial_params_deg1_noise_level_high.csv,-2.5339026925990944,-6.416873728737011,,,,,,0.2489571550430266,0.41977208639541363,0.8936134304494256,True
3830,high,1,"[2.179131508738257, -9.674862466830568]",1,"[1.7313519467571323, -8.42933651293241]",0.3333333333333333,0.6666666666666666,polynomial_params_deg1_noise_level_high.csv,2.179131508738257,-9.674862466830568,,,,,,0.15989710400000687,0.33596483575415237,0.7977389675099671,True
3831,high,1,"[-11.054353388536434, 7.14377478490128]",1,"[-11.44540413169048, 7.8758446923733505]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,-11.054353388536434,7.14377478490128,,,,,,0.04528631883905349,0.18387234975212918,0.3910463793870953,True
3832,high,1,"[7.437154220541583, 9.07671050508263]",1,"[7.819321063697898, 7.781253219637331]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_high.csv,7.437154220541583,9.07671050508263,,,,,,0.21037386759001853,0.37830306701075944,0.9132827202481923,True
3833,high,1,"[5.529813586770407, 5.650158556359638]",1,"[5.811737594269801, 5.422181946978727]",0.6666666666666666,0.3333333333333333,polynomial_params_deg1_noise_level_high.csv,5.529813586770407,5.650158556359638,,,,,,0.03253351148000021,0.1679357028089388,0.28192264856251725,True
3834,high,1,"[-11.482503764421, -6.371703360024851]",1,"[-12.26563337877607, -5.0016597689148385]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,-11.482503764421,-6.371703360024851,,,,,,0.16604343090484117,0.34953633687857727,0.7831214477156756,True
3835,high,1,"[-1.786364615232512, 6.832672383101011]",1,"[-2.0195002711702448, 7.135222963997752]",0.8,0.2,polynomial_params_deg1_noise_level_high.csv,-1.786364615232512,6.832672383101011,,,,,,0.01432919060479825,0.09778643246934092,0.23313385247577845,True
3836,high,1,"[5.822134875625105, -4.611030175983863]",1,"[5.494113332729162, -3.8546012072573]",0.6666666666666666,0.3333333333333333,polynomial_params_deg1_noise_level_high.csv,5.822134875625105,-4.611030175983863,,,,,,0.05020139676720476,0.19243780077730344,0.4284029168626917,True
