true_degree,noise_level,method_pol,metric,p_raw,p_holm
2,low,cv,imse,1.8291580217203713e-27,2.926652834752594e-25
2,low,cv,imae,3.976627438952566e-25,6.084239981597426e-23
2,low,cv,maxerr,8.513879533901317e-12,9.109851101274409e-10
2,low,loocv,imse,1.5639031377170693e-25,2.439688894838628e-23
2,low,loocv,imae,2.9805918481483243e-23,4.41127593525952e-21
2,low,loocv,maxerr,1.8824224692010473e-12,2.070664716121152e-10
2,low,silverman,imse,2.2962126195115763e-19,3.3295082982917853e-17
2,low,silverman,imae,5.661955321381733e-19,8.153215662789696e-17
2,low,silverman,maxerr,1.8892484865694783e-11,1.9459259411665627e-09
2,moderate,cv,imse,2.9724169058853826e-10,2.6751752152968443e-08
2,moderate,cv,imae,1.841436610868703e-09,1.4731492886949623e-07
2,moderate,cv,maxerr,1.753593371793081e-09,1.4204106311523956e-07
2,moderate,loocv,imse,4.005577450223364e-09,3.044238862169757e-07
2,moderate,loocv,imae,1.9602626190899204e-08,1.2153628238357506e-06
2,moderate,loocv,maxerr,1.0064415046793629e-08,7.04509053275554e-07
2,moderate,silverman,imse,0.0005135762358753405,0.005649338594628746
2,moderate,silverman,imae,0.0002523668259428083,0.004290236041027741
2,moderate,silverman,maxerr,3.501151137926669e-06,0.0001225402898274334
3,high,cv,imse,9.365947023769185e-05,0.0021541678154669125
3,high,cv,imae,1.5682603886804529e-06,6.273041554721811e-05
3,high,cv,maxerr,0.00011682064593962812,0.0025700542106718185
3,high,loocv,imse,0.0002982360678218113,0.004290236041027741
3,high,loocv,imae,3.3828944310239567e-06,0.00012178419951686245
3,high,loocv,maxerr,0.0003574644195225557,0.004647037453793224
3,high,silverman,imse,0.031851543056981714,0.06370308611396343
3,high,silverman,imae,0.0007361337392038559,0.0066252036528347035
3,high,silverman,maxerr,0.0028044732463325885,0.014828750970925023
3,low,cv,imse,6.0586591245699484e-15,7.815670270695234e-13
3,low,cv,imae,3.808812802125022e-15,5.065721026826278e-13
3,low,cv,maxerr,2.157980047404661e-15,2.934852864470339e-13
3,low,loocv,imse,3.4800958680060204e-14,4.3501198350075254e-12
3,low,loocv,imae,3.182234065899413e-14,4.00961492303326e-12
3,low,loocv,maxerr,3.996729488233347e-15,5.275682924468018e-13
3,low,silverman,imse,2.156762016540399e-11,2.199897256871207e-09
3,low,silverman,imae,5.868160590042888e-13,6.748384678549321e-11
3,low,silverman,maxerr,9.528207892931131e-14,1.1814977787234602e-11
3,moderate,cv,imse,2.028817813591605e-09,1.602766072737368e-07
3,moderate,cv,imae,8.832620820147111e-11,8.655968403744168e-09
3,moderate,cv,maxerr,6.176120603367032e-13,7.040777487838417e-11
3,moderate,loocv,imse,1.2353508626568816e-08,8.276850779801107e-07
3,moderate,loocv,imae,1.3956506831821456e-09,1.1444335602093594e-07
3,moderate,loocv,maxerr,3.604563299741815e-12,3.928973996718578e-10
3,moderate,silverman,imse,6.36888972458297e-05,0.0016559113283915721
3,moderate,silverman,imae,5.993137330911689e-07,2.69691179891026e-05
3,moderate,silverman,maxerr,2.5756351623248707e-07,1.2620612295391866e-05
4,high,cv,imse,8.328642818645262e-08,4.497467122068442e-06
4,high,cv,imae,3.095223042965507e-09,2.3833217430834404e-07
4,high,cv,maxerr,9.235595522624006e-12,9.789731253981447e-10
