method,degree,noise_level,metric,rank_biserial
loocv,2,high,imae,0.3578709039653947
loocv,2,high,maxerr,0.28058368910836873
loocv,2,low,imse,0.6022490075744215
loocv,2,low,imae,0.5996766064838001
loocv,2,low,maxerr,0.40114099395241326
loocv,2,moderate,imse,0.38793344208414854
loocv,2,moderate,imae,0.3748410723542698
loocv,2,moderate,maxerr,0.3976855298008324
loocv,3,high,imse,0.2697565681000819
loocv,3,high,imae,0.322932321988299
loocv,3,high,maxerr,0.22913566729594206
loocv,3,low,imse,0.45389441333321495
loocv,3,low,imae,0.4696359722459724
loocv,3,low,maxerr,0.4583097286380128
loocv,3,moderate,imse,0.3431659842981116
loocv,3,moderate,imae,0.3838636731945088
loocv,3,moderate,maxerr,0.41369584703649054
loocv,4,high,imse,0.29467430403759304
loocv,4,high,imae,0.3587155729802256
loocv,4,high,maxerr,0.38159842447291686
loocv,4,low,imse,0.4155003672045383
loocv,4,low,imae,0.3931166383115199
loocv,4,low,maxerr,0.37649201633780294
loocv,4,moderate,imse,0.35142070421577704
loocv,4,moderate,imae,0.35694944685830654
loocv,4,moderate,maxerr,0.3861289219161007
loocv,5,high,imse,0.3235466267263578
loocv,5,high,imae,0.33157098236725124
loocv,5,high,maxerr,0.33717651310203806
loocv,5,low,imse,0.5295690782528366
loocv,5,low,imae,0.5311816281902411
loocv,5,low,maxerr,0.5054960113301564
loocv,5,moderate,imse,0.3604049110098874
loocv,5,moderate,imae,0.3461607198961484
loocv,5,moderate,maxerr,0.4293606178569906
loocv,6,high,imse,0.24487722620869948
loocv,6,high,imae,0.2535542806337804
loocv,6,high,maxerr,0.3531484362915675
loocv,6,low,imse,0.3584468146573249
loocv,6,low,imae,0.3822127292109757
loocv,6,low,maxerr,0.4559292977780348
loocv,6,moderate,imse,0.276513920218729
loocv,6,moderate,imae,0.35541368501315945
loocv,6,moderate,maxerr,0.35625835402799033
silverman,1,high,imse,0.5259984319628697
silverman,1,high,imae,0.5240403356103072
silverman,1,high,maxerr,0.18287084171088672
silverman,1,low,imse,0.5559073938971087
silverman,1,low,imae,0.5529510523452007
silverman,1,low,maxerr,0.18409945118700438
silverman,1,moderate,imse,0.6417564810408296
silverman,1,moderate,imae,0.6240568257755097
silverman,1,moderate,maxerr,0.2590446292301812
silverman,2,high,imse,0.2730200620210194
silverman,2,high,imae,0.3015852323407548
silverman,2,high,maxerr,0.21158958821513685
silverman,2,low,imse,0.5648532066450904
silverman,2,low,imae,0.5823992857258956
silverman,2,low,maxerr,0.4358108176066083
silverman,2,moderate,imse,0.27428706554326576
silverman,2,moderate,imae,0.2932153302847033
silverman,2,moderate,maxerr,0.3291521574611446
silverman,3,high,imse,0.13050136279137184
silverman,3,high,imae,0.20924755140128756
silverman,3,high,maxerr,0.17837873831383155
silverman,3,low,imse,0.4290918595340899
silverman,3,low,imae,0.4826131598374651
silverman,3,low,maxerr,0.46863772704662676
silverman,3,moderate,imse,0.21423877739801553
silverman,3,moderate,imae,0.29678597657467026
silverman,3,moderate,maxerr,0.3028138418168725
silverman,4,high,imse,0.1437089146596366
silverman,4,high,imae,0.23643053606039063
silverman,4,high,maxerr,0.2613866660440304
silverman,4,low,imse,0.5133667907865351
silverman,4,low,imae,0.5233108487338624
silverman,4,low,maxerr,0.492825976107693
silverman,4,moderate,imse,0.33172455855176597
silverman,4,moderate,imae,0.3702337868188286
silverman,4,moderate,maxerr,0.4028687260282037
silverman,5,high,imse,0.1601031723565815
silverman,5,high,imae,0.22748472331240896
silverman,5,high,maxerr,0.25843032449212233
silverman,5,low,imse,0.6264756506816164
silverman,5,low,imae,0.6474771939140025
silverman,5,low,maxerr,0.6499344128662378
silverman,5,moderate,imse,0.405325944980439
silverman,5,moderate,imae,0.474895956565601
