method,degree,noise_level,metric,rank_biserial
silverman,4,high,imae,0.1918165537102541
silverman,4,high,maxerr,0.22607448329695554
silverman,4,low,imse,0.5028603401577867
silverman,4,low,imae,0.49760173936813623
silverman,4,low,maxerr,0.49367106807082173
silverman,4,moderate,imse,0.3534361219119493
silverman,4,moderate,imae,0.3510345753267445
silverman,4,moderate,maxerr,0.40443066429565977
silverman,5,high,imse,0.21429971017763702
silverman,5,high,imae,0.24603078314385368
silverman,5,high,maxerr,0.2626372222968656
silverman,5,low,imse,0.6386322874548139
silverman,5,low,imae,0.6441361101340747
silverman,5,low,maxerr,0.6699824931082503
silverman,5,moderate,imse,0.4663950130214764
silverman,5,moderate,imae,0.48970532083952206
silverman,5,moderate,maxerr,0.5425851857971257
silverman,6,high,imse,0.2320576580205895
silverman,6,high,imae,0.2352921021082849
silverman,6,high,maxerr,0.30211900622524657
silverman,6,low,imse,0.621405420332435
silverman,6,low,imae,0.6584485474465104
silverman,6,low,maxerr,0.6949346350551112
silverman,6,moderate,imse,0.45777962347167367
silverman,6,moderate,imae,0.5294079666001272
silverman,6,moderate,maxerr,0.5940747091815483
