true_degree,noise_level,seed,selected_degree,c1,c2,coefficients
6,low,1521,3,0.2,0.8,"[-16.59450526754611, -21.374078163979693, 11.04440691847578, 21.86137605471328]"
6,low,1522,2,0.8,0.2,"[8.898269104779475, 5.001883921072291, -56.65468003901493]"
6,low,1523,4,0.6666666666666666,0.3333333333333333,"[34.57848173032729, -42.29645036997593, 119.9172127496846, -160.7006163318333, 92.01429371022797]"
6,low,1524,4,0.5,0.5,"[-15.416379790644603, 30.534305901739142, -75.2358171503764, 199.05055183644583, -168.69396343711654]"
6,low,1525,3,0.0,1.0,"[15.00207687262512, -8.990315313184208, -99.40852680497099, 113.94769371070205]"
6,low,1526,2,0.5,0.5,"[8.36634699448862, -3.2992078840253294, 23.25626523130929]"
6,low,1527,4,0.0,1.0,"[-1.8391520855247752, -9.262410326471029, 49.974951007882794, -74.20908502914446, 46.81491251474827]"
6,low,1528,5,0.5714285714285714,0.42857142857142855,"[-21.170818697297403, -100.73798558193737, 291.0885614143529, -573.2252165103131, 746.6487514908819, -375.1282592286767]"
6,low,1529,3,0.2,0.8,"[16.103996542185584, 19.235807786823944, -106.01788437182381, 87.35414614134511]"
6,low,1530,2,0.6666666666666666,0.3333333333333333,"[-9.843440981782177, 15.014266276787971, 2.3392918764079904]"
6,low,1531,3,0.5714285714285714,0.42857142857142855,"[-7.5505072230814605, 16.02421868114815, -24.51461947202644, 25.58656406954632]"
6,low,1532,2,0.42857142857142855,0.5714285714285714,"[3.999166855360878, -11.909197584953652, 26.265105514782483]"
6,low,1533,3,0.6666666666666666,0.3333333333333333,"[6.09920704693942, 4.804161733336609, -28.73104126251979, 48.166474038832646]"
6,low,1534,1,0.5,0.5,"[-4.751854089821125, -16.65914286593094]"
6,low,1535,3,0.5,0.5,"[-3.53510938689005, 13.714914118464755, -34.07563127368166, 36.191987666739465]"
6,low,1536,1,0.42857142857142855,0.5714285714285714,"[17.472801450592396, -15.491325439105362]"
6,low,1537,2,0.3333333333333333,0.6666666666666666,"[-11.978325665168656, -24.42335559840096, 36.79665645240929]"
6,low,1538,4,1.0,0.0,"[12.456120472380576, -20.36478202624889, 169.1249430222717, -257.40002260779005, 128.62826789977345]"
6,low,1539,4,0.6666666666666666,0.3333333333333333,"[16.236281961704982, -30.798856207431577, 165.6956879938021, -207.52370967410263, 84.35092955213386]"
6,low,1540,3,0.3333333333333333,0.6666666666666666,"[21.456428236509, 9.321852592921289, 29.373726794305867, -55.416514380529485]"
6,low,1541,3,0.2,0.8,"[-19.36730863900578, -8.44349625340246, -23.782090445340902, 23.417975162607625]"
6,low,1542,4,0.5714285714285714,0.42857142857142855,"[8.433631226527659, 1.6957117811888065, 3.908296253189177, -68.5541155813186, 82.6329374092828]"
6,low,1543,2,0.6666666666666666,0.3333333333333333,"[1.4861217923677288, 7.966069840889126, -20.863533416951075]"
6,low,1544,1,0.42857142857142855,0.5714285714285714,"[-6.860580370340159, -15.348112828266627]"
6,low,1545,3,0.5714285714285714,0.42857142857142855,"[-209.37804550877078, 142.8831111330099, -330.78211034613076, 182.58853592762958]"
6,low,1546,2,0.3333333333333333,0.6666666666666666,"[5.2720010693195105, -3.575656186538114, 24.730008270432744]"
6,low,1547,2,0.5714285714285714,0.42857142857142855,"[3.046366175873139, 4.383456628051479, 6.9427067497106885]"
6,low,1548,1,0.5714285714285714,0.42857142857142855,"[-6.271106594385171, -17.309010286616658]"
6,low,1549,2,0.0,1.0,"[-9.618348779677229, 6.970376279329853, 6.41635545332718]"
6,low,1550,3,0.5,0.5,"[-7.879994935799991, 8.663097598132186, 23.111111102386058, -52.81633400398722]"
6,low,1551,3,0.8,0.2,"[0.8074827282768271, 15.864893176172338, -30.112556813148313, 28.922027744636516]"
6,low,1552,2,0.2,0.8,"[3.219386701740322, -1.8169600564621697, 12.59021516354673]"
6,low,1553,3,0.42857142857142855,0.5714285714285714,"[-7.107091611888123, 2.0203959098335886, 31.83860783386781, -46.77009418285835]"
6,low,1554,2,0.5,0.5,"[4.4184001984843135, -9.641611347311576, 30.0179927066878]"
6,low,1555,4,0.2,0.8,"[-18.58952996100826, -26.038453658695726, 99.27538968328403, -211.58016040823537, 146.67126602552804]"
6,low,1556,1,0.5714285714285714,0.42857142857142855,"[-6.391659117711527, -13.754027690310233]"
6,low,1557,2,0.42857142857142855,0.5714285714285714,"[-19.59682131817951, -14.566266150775295, 27.980676672148228]"
6,low,1558,2,0.42857142857142855,0.5714285714285714,"[5.436609675804716, -4.68759895898983, -9.075539715545085]"
6,low,1559,3,0.0,1.0,"[-8.736367464193114, 16.65912358067527, -37.80376872425029, 34.27848780564151]"
6,low,1560,3,0.42857142857142855,0.5714285714285714,"[-15.720056030509825, 18.588916146003577, 11.772846697098794, -23.161498077786995]"
6,low,1561,2,0.42857142857142855,0.5714285714285714,"[4.830572972725245, 0.5457264018924574, 13.563359966843784]"
6,low,1562,4,0.2,0.8,"[5.7406059852462565, -22.548184332010326, 13.185650091430604, -61.94007440647658, 84.74207299878341]"
6,low,1563,2,0.3333333333333333,0.6666666666666666,"[-13.400308485576351, -1.0691599602900623, 18.350428477308533]"
6,low,1564,2,0.5714285714285714,0.42857142857142855,"[7.450863707986738, 0.015683185391144803, 14.270626848900164]"
6,low,1565,3,0.2,0.8,"[4.0849940026818805, -11.310705803136718, 31.797871254344862, -37.17893260706481]"
6,low,1566,1,0.0,1.0,"[10.870317007091044, -18.981122482166306]"
6,low,1567,3,0.2,0.8,"[6.65873970423125, -22.062045546918405, 29.749555536144396, -28.19694784103084]"
6,low,1568,4,0.6666666666666666,0.3333333333333333,"[19.396816427282833, -40.54038391115045, 145.73629948735177, -289.6635717529828, 200.94117453866667]"
6,low,1569,3,0.3333333333333333,0.6666666666666666,"[-0.787378493880961, -10.91160568924196, 17.114350049451144, -20.408817669118864]"
6,low,1570,1,0.0,1.0,"[7.040832308280645, 12.32212170679248]"
6,low,1571,4,0.0,1.0,"[-6.3230598178282476, 17.69123109389547, -91.4996910380873, 155.90086412746322, -99.25708638880242]"
6,low,1572,2,0.3333333333333333,0.6666666666666666,"[12.911240142626866, 20.99471660619285, -40.43191056876635]"
6,low,1573,3,0.2,0.8,"[-4.531884641511807, -4.81246033612739, 91.93880108907022, -81.73099886152609]"
6,low,1574,2,0.8,0.2,"[-7.917359373404189, -1.100730601690595, 14.523438512419958]"
