true_degree,noise_level,seed,selected_degree,c1,c2,coefficients
6,moderate,3422,5,0.6666666666666666,0.3333333333333333,"[22.25920061720296, 43.637334787290854, -178.15805628683356, 340.8175839741332, -487.2806285952992, 315.24733023770045]"
6,moderate,3423,2,0.42857142857142855,0.5714285714285714,"[-0.2398183016746885, -2.3383381697793197, 11.391194785278943]"
6,moderate,3424,3,0.0,1.0,"[7.014441631723385, -3.943779175594227, 63.96613588431329, -64.02608991534163]"
6,moderate,3425,3,0.3333333333333333,0.6666666666666666,"[-1.448402269727756, -15.516168647364257, 31.75545680997385, -30.327433777141948]"
6,moderate,3426,5,0.42857142857142855,0.5714285714285714,"[-8.107677799295153, -63.777499505140604, 361.6593186044811, -895.9761268033749, 920.4771581237694, -318.7893625160369]"
6,moderate,3427,2,0.2,0.8,"[-2.849272815350623, 3.4287517475621176, 7.15610651911738]"
6,moderate,3428,2,0.3333333333333333,0.6666666666666666,"[-4.789541218989052, 10.250451916204673, -19.20158816999392]"
6,moderate,3429,2,0.0,1.0,"[2.537703949776349, 1.9106890455543026, 7.673652733704131]"
6,moderate,3430,3,0.42857142857142855,0.5714285714285714,"[-19.063637669966525, -56.38814306713255, 83.93720460629355, -29.17190777671908]"
6,moderate,3431,4,0.42857142857142855,0.5714285714285714,"[12.06646933257192, -45.744581794758425, 155.49325141734536, -271.5739056341866, 169.2133830877782]"
6,moderate,3432,1,0.0,1.0,"[-9.436727985616908, -11.118342858937572]"
6,moderate,3433,4,0.8,0.2,"[23.1543238874469, 19.685934485566925, -128.13342887594436, 297.2229405491496, -201.5587102457516]"
6,moderate,3434,4,0.2,0.8,"[-3.1458584085804326, -17.11576617482235, 72.93204107400042, -114.0544454762548, 70.44780598053622]"
6,moderate,3435,2,0.5,0.5,"[7.965816106117369, -13.620671717399022, 28.26637411407889]"
6,moderate,3436,3,0.3333333333333333,0.6666666666666666,"[-3.9941770619566133, 4.458385619117584, -35.200757515074194, 40.62498749389184]"
6,moderate,3437,4,1.0,0.0,"[-2.681581059700043, -11.452138464944104, 75.42518349718824, -127.14685823106579, 74.31777438215475]"
6,moderate,3438,3,0.5,0.5,"[7.29782942236442, -1.3963546990872586, -50.42313396415807, 58.2864702056961]"
6,moderate,3439,2,1.0,0.0,"[-2.318191160306661, -0.7064015634109079, -12.642694631292233]"
6,moderate,3440,3,0.5714285714285714,0.42857142857142855,"[0.25753427670985024, -17.950790976588213, 40.01735430971477, -36.36193542559742]"
