true_degree,noise_level,seed,selected_degree,c1,c2,coefficients
1,high,3772,1,0.3333333333333333,0.6666666666666666,"[4.432097509094263, -6.116033898616701]"
1,high,3773,1,0.42857142857142855,0.5714285714285714,"[-4.9155374427295415, -6.054565602857657]"
1,high,3774,3,0.42857142857142855,0.5714285714285714,"[3.1192783663494064, -10.346753797478573, 14.389661351919006, -11.962590173989833]"
1,high,3775,1,0.3333333333333333,0.6666666666666666,"[-9.488926201725997, 5.833114566751459]"
1,high,3776,1,0.6666666666666666,0.3333333333333333,"[4.635262949919988, 4.260198930032757]"
1,high,3777,1,0.3333333333333333,0.6666666666666666,"[14.095825293846353, -9.55622246103016]"
1,high,3778,1,1.0,0.0,"[21.871273984509475, -9.280339016429087]"
1,high,3779,1,0.5,0.5,"[-6.852263839662472, 6.3237391986689655]"
1,high,3780,1,0.5714285714285714,0.42857142857142855,"[17.367325972657042, -5.889745365489308]"
1,high,3781,1,0.0,1.0,"[-3.989451078105158, -6.899891378472068]"
1,high,3782,1,0.2,0.8,"[-5.500533070958333, -7.5129742574398914]"
1,high,3783,1,0.3333333333333333,0.6666666666666666,"[7.446148727156324, -6.689996779596225]"
1,high,3784,1,0.5714285714285714,0.42857142857142855,"[2.7901272465623452, 4.711361969971358]"
1,high,3785,1,0.2,0.8,"[9.372309729958328, 5.079837288494976]"
1,high,3786,1,0.0,1.0,"[-2.6208888681348883, -6.214170060432795]"
1,high,3787,1,0.0,1.0,"[-9.675688325629645, 5.66840382389051]"
1,high,3788,1,0.42857142857142855,0.5714285714285714,"[6.9530705129016095, -11.376099625778716]"
1,high,3789,1,0.2,0.8,"[-24.086361851839804, -14.51764395085703]"
1,high,3790,2,0.6666666666666666,0.3333333333333333,"[2.948465389377689, 2.042973974253708, 3.7396902441566926]"
1,high,3791,2,0.6666666666666666,0.3333333333333333,"[-4.493735323056435, 0.8826701832956066, 5.891143145107919]"
1,high,3792,1,1.0,0.0,"[13.963325486165129, -19.50138580037591]"
1,high,3793,1,0.2,0.8,"[13.095359133777357, 6.143495416887902]"
1,high,3794,1,0.42857142857142855,0.5714285714285714,"[-10.446898868224318, 11.210530293031075]"
1,high,3795,1,0.42857142857142855,0.5714285714285714,"[4.54290928514692, 7.735281966106544]"
1,high,3796,2,0.8,0.2,"[-5.180112651564309, 16.64506537392062, -6.733005211101079]"
1,high,3797,1,0.0,1.0,"[3.9286784579091463, -6.2005413633223725]"
1,high,3798,1,0.42857142857142855,0.5714285714285714,"[6.450745114574891, -8.84746686272527]"
1,high,3799,1,0.8,0.2,"[6.243121936496628, 7.4970204392262]"
1,high,3800,1,0.2,0.8,"[-12.196209039231832, -7.954768284397488]"
1,high,3801,1,0.3333333333333333,0.6666666666666666,"[-4.603343845464555, -5.105152027117746]"
1,high,3802,1,0.0,1.0,"[10.459617773900526, -6.602709476698422]"
1,high,3803,1,0.0,1.0,"[-13.777821967540884, -7.9042252247238585]"
1,high,3804,1,0.5714285714285714,0.42857142857142855,"[6.665329990553832, 6.430434659515909]"
1,high,3805,1,0.6666666666666666,0.3333333333333333,"[-7.953133561734645, -6.2189011458194265]"
1,high,3806,1,0.42857142857142855,0.5714285714285714,"[-3.7346219164483343, 7.341363167655705]"
1,high,3807,1,0.42857142857142855,0.5714285714285714,"[-0.6581473057367617, -6.369074267150258]"
1,high,3808,1,0.6666666666666666,0.3333333333333333,"[-5.296882436284938, -8.703677248345606]"
1,high,3809,1,0.5714285714285714,0.42857142857142855,"[7.86688656438369, 7.8618619315806235]"
1,high,3810,1,0.2,0.8,"[4.241861146023602, 5.193700404748116]"
1,high,3811,1,0.3333333333333333,0.6666666666666666,"[-15.158396912935109, -6.942278634858998]"
1,high,3812,1,0.6666666666666666,0.3333333333333333,"[-5.8848773826962155, 6.262812320089247]"
1,high,3813,1,0.42857142857142855,0.5714285714285714,"[-8.23119356873574, -5.511378075821]"
1,high,3814,1,0.42857142857142855,0.5714285714285714,"[-10.209191157348362, -6.669142575038117]"
1,high,3815,2,0.2,0.8,"[19.414334514446853, -0.8333877291791532, -5.270041649809203]"
1,high,3816,1,0.0,1.0,"[6.318380815586728, 4.1818483542763385]"
1,high,3817,2,0.3333333333333333,0.6666666666666666,"[14.440479921865522, -16.345879799951547, 7.196600764116328]"
1,high,3818,1,1.0,0.0,"[-1.4813663634888716, 6.876041570523881]"
1,high,3819,1,0.0,1.0,"[2.8194811480085797, -5.215298182102372]"
1,high,3820,1,0.5,0.5,"[-5.526635434802984, -8.84053391139114]"
1,high,3821,1,1.0,0.0,"[-5.159044678047348, 7.516935761649954]"
1,high,3822,1,0.0,1.0,"[-4.671460868471419, 5.919000337882262]"
1,high,3823,1,0.2,0.8,"[4.606127395251852, 5.331882237126756]"
1,high,3824,1,0.42857142857142855,0.5714285714285714,"[8.567739320045826, -8.518502676304823]"
1,high,3825,1,1.0,0.0,"[7.725603230972409, 5.923737422010099]"
1,high,3826,1,0.8,0.2,"[9.605339753739173, 14.276425169150848]"
1,high,3827,1,1.0,0.0,"[-3.46007637244189, -5.8838196362680675]"
