degree,noise_level,method,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem,bandwidth_mean,bandwidth_std,n_used,n_total,n_removed
2,moderate,loocv,0.18028577645499266,0.00702092977354962,0.3273417910278809,0.006909855135584892,0.5647383401747601,0.017227638061159525,2.392751984517265,6.6536006270931916,275,300,25
2,moderate,silverman,0.1808723569504179,0.00836803628286469,0.3323347271963377,0.008478711942489652,0.5565960208284567,0.017353008015814384,0.15084780319864585,0.013441957504707735,273,300,27
3,high,cv,0.15535240196823172,0.006415348537376786,0.3017935705719647,0.006867622364134076,0.4994786444434879,0.014919803184191621,3.3084479295213334,7.734762123733729,275,300,25
3,high,loocv,0.15228483437589996,0.006448724967616781,0.2979869663665367,0.006723403538572561,0.49340952333931604,0.0150809698009091,3.7828745439342817,8.26031320700953,269,300,31
3,high,silverman,0.1333991780188411,0.005381657256835594,0.28585294364451336,0.0067160917036303775,0.4801065402686952,0.015478958807558754,0.15173340955189277,0.012183044134171747,274,300,26
3,low,cv,0.23791535674546285,0.009761753604219284,0.3710665892838851,0.008198810865430815,0.6452184460562934,0.019272693331318026,2.660901653134844,7.253326215939268,274,300,26
3,low,loocv,0.22900761558022342,0.009602128195713598,0.36378452746702067,0.007965138470756616,0.6334774227626022,0.01821038182865879,2.5996174296675205,7.162996464870126,272,300,28
3,low,silverman,0.2498805112875122,0.012042495829681149,0.3879759731087366,0.010295190425384097,0.6568485138057266,0.02079242903640741,0.15251750837762296,0.012048495205098372,267,300,33
3,moderate,cv,0.20852682095310768,0.008715396013741519,0.3471163432708438,0.007463134416994022,0.605904918917486,0.018157758057992805,2.530833323907416,6.953148164509593,265,300,35
3,moderate,loocv,0.21163418604280654,0.009123902877063831,0.34711381031797034,0.00744171169899909,0.6142397002200232,0.01923180068171055,2.7601118316319195,7.230242888527668,266,300,34
3,moderate,silverman,0.2058108360671984,0.009774009502806255,0.35168380614184597,0.009200586376667121,0.5713161118000539,0.018636174005186575,0.1523697592482803,0.013172145814703322,272,300,28
