degree,noise_level,method,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem,bandwidth_mean,bandwidth_std,n_used,n_total,n_removed
2,moderate,silverman,0.26615798095586757,0.019751010754487704,0.3830538191904132,0.01265107420239068,0.6466815520221765,0.024319173428520188,0.15117917844014309,0.013400637887611366,300,300,0
3,high,cv,0.2600883189436477,0.042985262437439706,0.33319849023141934,0.009570835778673948,0.5737962357363402,0.02299387856580951,3.04230854362564,7.457015358230777,300,300,0
3,high,loocv,0.3576823635304441,0.11473730641156389,0.3435248679071638,0.011833341220255734,0.6136967838281424,0.03185468550005532,3.401299217262123,7.901057795673047,300,300,0
3,high,silverman,0.19432335537993392,0.019141328906805068,0.31916571608523975,0.009881287382562727,0.5771839170084718,0.030805512147452255,0.15108030098385972,0.01249021688002264,300,300,0
3,low,cv,0.6372245143720657,0.19843718496898424,0.41855459634009273,0.013649360628900094,0.7542792195285559,0.042645172834800855,2.5004314721038052,7.037632849320781,300,300,0
3,low,loocv,0.462640547515365,0.11957940449717351,0.40583393150260333,0.012007052972243713,0.7219741565445933,0.028975376941413434,2.427955967221223,6.929211637994162,300,300,0
3,low,silverman,0.44211922771181295,0.04317935412158322,0.46857735362344877,0.01750603192342385,0.8136252417815503,0.03492731983327655,0.15226959830345146,0.012175828115922065,300,300,0
3,moderate,cv,0.4197529190494047,0.07062567248703464,0.39982412268767975,0.012949284192001517,0.7374774393933524,0.04094332994752807,2.5983801874688943,7.010837171049154,300,300,0
3,moderate,loocv,0.4240691270311953,0.05904508351257425,0.40182567774586614,0.01278607697805572,0.7582248802335454,0.042103878013022275,2.600242245371658,7.0360035763687465,300,300,0
3,moderate,silverman,0.3237674870435016,0.03810537426373685,0.39569838636157195,0.013053835477817249,0.6728209450789685,0.027987018706435007,0.15174039690511704,0.013727758202193609,300,300,0
4,high,cv,0.40899303337586335,0.091630431908924,0.3844804585033041,0.01288362649716464,0.707545082369881,0.03100598010625767,1.6581731474937218,5.579457351404085,300,300,0
4,high,loocv,0.3862634106835673,0.09145593213229111,0.3802826272660761,0.012450169979692382,0.7405851059061932,0.047704297775816036,2.0175968180898805,6.220771029391427,300,300,0
4,high,silverman,0.29474766375766887,0.04135582206343338,0.36946170840358944,0.013108058207046164,0.6482213507734019,0.03462289829379809,0.15213940065944817,0.013837208973723916,300,300,0
4,low,cv,24.97290832842569,24.57539648680704,0.45611775169949303,0.03587031759225893,0.7666471043665737,0.032977783880181084,1.088729238420577,4.580200265245181,300,300,0
4,low,loocv,301.90801386018484,301.50346138757004,0.7849994710490185,0.3651819581326713,5.332365346973206,4.561622115559843,1.11212287618943,4.579363017804445,300,300,0
4,low,silverman,0.6528989244515767,0.07793612269223654,0.541412306191167,0.021112706389298214,0.9460192250316506,0.04223059866707843,0.1516429027197063,0.013507701165374133,300,300,0
4,moderate,cv,0.3837322033047478,0.045585668486026576,0.3980090906402281,0.011694244522994088,0.7523774544289378,0.0448741277241802,2.010647073974522,6.2510689469921665,300,300,0
4,moderate,loocv,0.3933153300876974,0.05720978990112137,0.39457174363185915,0.012165074114960752,0.7456010891998637,0.03838937149445515,1.8832885528264767,6.077580892197644,300,300,0
4,moderate,silverman,0.38973091809098565,0.03500515949207986,0.42884682686181824,0.015738703923782245,0.7473980961235933,0.030926895940005247,0.15209417338753412,0.01394757483102595,300,300,0
5,high,cv,0.410326215496973,0.07417751475667528,0.39110043880393036,0.011618599058801225,0.659713878098773,0.024034184180169983,1.829322849314292,5.933624504382559,300,300,0
5,high,loocv,1.2189933991284705,0.8789633450728327,0.4007793065133749,0.018003305231616785,0.678529176333516,0.027982653644790172,1.7384120537919618,5.849243839602551,300,300,0
5,high,silverman,0.3026799531922618,0.02677387153740972,0.3803200556737762,0.011433311427865987,0.6526443860833182,0.03049187389021855,0.15140594275137953,0.012775354333219763,300,300,0
5,low,cv,1.774845428470356,0.8972855054425491,0.48094912823628383,0.02519864822910343,1.0495316631782372,0.10616646933248686,1.0502112941894295,4.515654289931568,300,300,0
