degree,noise_level,method,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem,bandwidth_mean,bandwidth_std,n_success
4,high,silverman,0.29474766375766887,0.04128683815875493,0.36946170840358944,0.013086193207325266,0.6482213507734019,0.03456514529563673,0.15213940065944817,0.01381412770832445,300
4,high,cv,0.40899303337586335,0.09147758704536996,0.3844804585033041,0.012862135862524856,0.707545082369881,0.030954260336962997,1.6581731474937218,5.5701504936297095,300
4,high,loocv,0.3862634106835673,0.09130337834446371,0.3802826272660761,0.012429402375610125,0.7405851059061932,0.04762472424623,2.0175968180898805,6.210394423286009,300
5,low,silverman,0.7859452273593697,0.06951189928191132,0.605627862108487,0.021222613709934994,1.1196223822449334,0.04348703915797334,0.1528023491656183,0.013413021153988187,300
5,low,cv,1.774845428470356,0.8957887812888892,0.48094912823628383,0.025156615425480373,1.0495316631782372,0.10598937751723418,1.0502112941894295,4.5081219172315485,300
5,low,loocv,1.145734720150741,0.4771155008761526,0.4747167288494947,0.01991762066933283,0.9459604842020722,0.07058607566960708,0.9313686482008969,4.238668473517839,300
5,moderate,silverman,0.4132577772067761,0.030701772551591396,0.45404033476210315,0.014146367519218292,0.8239489696558748,0.03243206842758231,0.15279978409780537,0.01372201868398295,300
5,moderate,cv,0.4702240655244403,0.07300499208634745,0.4138220309780069,0.011908841327124676,0.8194531887953078,0.05406432040302434,1.7194330909288678,5.784501683841313,300
5,moderate,loocv,0.5341555872054484,0.16347829603575942,0.4069446442024024,0.014315560772854726,0.8210037815754266,0.05515926640635493,1.4451122162156351,5.294929802613724,300
5,high,silverman,0.3026799531922618,0.026729211170142035,0.3803200556737762,0.011414240002699074,0.6526443860833182,0.030441011679846232,0.15140594275137953,0.012754044302815713,300
5,high,cv,0.410326215496973,0.07405378236902234,0.39110043880393036,0.011599218563142352,0.659713878098773,0.023994093769974145,1.829322849314292,5.923726875299519,300
5,high,loocv,1.2189933991284705,0.8774971833430681,0.4007793065133749,0.017973274676545484,0.678529176333516,0.02793597695900887,1.7384120537919618,5.839486962351912,300
6,low,silverman,0.9720951992621313,0.07322310491657447,0.6604086892467164,0.022155166703574765,1.2806301686869501,0.05131975005340438,0.15167840728068982,0.013100269081497584,300
6,low,cv,0.6548596236673202,0.10321516264581639,0.47050601346495124,0.01301189076311334,0.9208504888627469,0.05236706997104552,0.7440685529176659,3.8708826088601826,300
6,low,loocv,0.6523076227202221,0.09795087083801854,0.4680912407106117,0.012889017301365293,0.8536836752132593,0.03290320987845223,0.9759065469388772,4.555866554935535,300
6,moderate,silverman,0.5909359094484663,0.07936932166291766,0.4991057001384231,0.01838985955093387,0.9401990744393934,0.042941837221938776,0.15085863856719706,0.012177718086692744,300
6,moderate,cv,1.8169592868311588,1.30122326769466,0.43640493909956757,0.025009024965100386,0.8646600802779926,0.1021512314344353,0.8822154869080134,4.082223193336616,300
6,moderate,loocv,1.7369906420650583,1.279924324214045,0.4311076256571002,0.02447338538095446,0.8316071562001494,0.07534120000348768,0.8564614691451853,4.031255592843881,300
6,high,silverman,0.320134499583939,0.03469514351795316,0.396237090627431,0.01237768472617713,0.6834960581952076,0.02638746820332063,0.15218093436773453,0.013077896055363079,300
6,high,cv,0.3156266427500322,0.03061866676690005,0.3848387915674013,0.010028419359654765,0.7523545354695803,0.039625210356963064,1.6195928909142014,5.660249218409468,300
6,high,loocv,0.47976950465420676,0.14015853593241615,0.3916222728550355,0.012833851110618556,0.9590701639522626,0.16497929046818047,1.6937726489080545,5.801666724918684,300
